Date,granoer_hammer,guben_2,guben_sprucke
2009-11-16,0.24866666666666665,18.9,0.16385714285714287
2009-11-17,0.248,18.78125,0.1627142857142857
2009-11-18,0.2703333333333333,18.662499999999998,0.15257142857142858
2009-11-19,0.26966666666666667,18.54375,0.1514285714285714
2009-11-20,0.269,17.475,0.15028571428571427
2009-11-21,0.2683333333333333,17.35625,0.14914285714285713
2009-11-22,0.26766666666666666,17.2375,0.148
2009-11-23,0.3105,17.11875,0.1516
2009-11-24,0.30983333333333335,17.0,0.1522
2009-11-25,0.3091666666666667,16.933333333333334,0.1528
2009-11-26,0.3085,16.866666666666667,0.15339999999999998
2009-11-27,0.30783333333333335,16.8,0.154
2009-11-28,0.3071666666666667,16.733333333333334,0.148
2009-11-29,0.3065,16.266666666666666,0.146
2009-11-30,0.30583333333333335,16.2,0.146
2009-12-01,0.3051666666666667,16.375,0.14714285714285713
2009-12-02,0.3045,16.549999999999997,0.1477142857142857
2009-12-03,0.22333333333333333,16.619999999999997,0.1522857142857143
2009-12-04,0.22266666666666668,16.689999999999998,0.15285714285714286
2009-12-05,0.222,16.759999999999998,0.15342857142857141
2009-12-06,0.22025,16.83,0.154
2009-12-07,0.2185,16.9,0.15296428571428572
2009-12-08,0.20975,18.134615384615387,0.15992857142857142
2009-12-09,0.208,18.019230769230766,0.15889285714285717
2009-12-10,0.208,17.903846153846153,0.15785714285714286
2009-12-11,0.208,17.78846153846154,0.15682142857142856
2009-12-12,0.208,17.673076923076923,0.1557857142857143
2009-12-13,0.208,17.557692307692307,0.14475
2009-12-14,0.208,17.442307692307693,0.1437142857142857
2009-12-15,0.208,17.326923076923077,0.14267857142857143
2009-12-16,0.208,17.21153846153846,0.14164285714285713
2009-12-17,0.208,14.946153846153846,0.14060714285714287
2009-12-18,0.208,14.830769230769231,0.12707142857142856
2009-12-19,0.208,14.715384615384615,0.12603571428571428
2009-12-20,0.208,14.6,0.125
2009-12-21,0.215,14.665,0.12578571428571428
2009-12-22,0.21939999999999998,14.73,0.12657142857142856
2009-12-23,0.24325,14.795,0.14385714285714285
2009-12-24,0.24609999999999999,14.86,0.14464285714285713
2009-12-25,0.24895,14.925,0.1454285714285714
2009-12-26,0.2518,19.740000000000002,0.1462142857142857
2009-12-27,0.25465000000000004,19.805,0.14700000000000002
2009-12-28,0.265,19.87,0.1507857142857143
2009-12-29,0.265,19.935000000000002,0.15157142857142858
2009-12-30,0.265,20.0,0.15235714285714286
2009-12-31,0.265,20.065,0.15314285714285714
2010-01-01,0.265,20.130000000000003,0.15392857142857141
2010-01-02,0.265,20.195,0.14621428571428569
2010-01-03,0.265,20.259999999999998,0.147
2010-01-04,0.265,16.875,0.1466
2010-01-05,0.265,16.939999999999998,0.1462
2010-01-06,0.265,17.005,0.14579999999999999
2010-01-07,0.265,17.07,0.14339999999999997
2010-01-08,0.265,17.134999999999998,0.143
2010-01-09,0.265,17.2,0.143
2010-01-10,0.265,17.023333333333333,0.143
2010-01-11,0.265,16.846666666666664,0.143
2010-01-12,0.265,16.67,0.143
2010-01-13,0.265,17.943333333333335,0.143
2010-01-14,0.265,17.766666666666666,0.143
2010-01-15,0.265,17.59,0.143
2010-01-16,0.265,17.413333333333334,0.1423333333333333
2010-01-17,0.26355,17.236666666666668,0.14866666666666667
2010-01-18,0.2621,17.060000000000002,0.148
2010-01-19,0.26065000000000005,16.883333333333333,0.14733333333333332
2010-01-20,0.2592,16.706666666666667,0.14666666666666667
2010-01-21,0.25775000000000003,16.53,0.14600000000000002
2010-01-22,0.2418,12.253333333333334,0.13233333333333333
2010-01-23,0.24035,12.076666666666668,0.13166666666666665
2010-01-24,0.2389,11.9,0.131
2010-01-25,0.23745,12.100000000000001,0.131
2010-01-26,0.236,12.3,0.131
2010-01-27,0.236,12.5,0.136
2010-01-28,0.23745,12.7,0.1368
2010-01-29,0.2389,12.9,0.1376
2010-01-30,0.24035,13.1,0.13840000000000002
2010-01-31,0.2418,15.65,0.1392
2010-02-01,0.25775000000000003,15.850000000000001,0.144
2010-02-02,0.2592,16.05,0.1437142857142857
2010-02-03,0.26065000000000005,16.25,0.1434285714285714
2010-02-04,0.2621,16.450000000000003,0.14314285714285713
2010-02-05,0.26355,16.65,0.14285714285714285
2010-02-06,0.265,16.558333333333334,0.14057142857142857
2010-02-07,0.265,16.46666666666667,0.1402857142857143
2010-02-08,0.265,16.375,0.14
2010-02-09,0.265,15.733333333333334,0.14
2010-02-10,0.265,15.641666666666666,0.14
2010-02-11,0.265,15.55,0.14
2010-02-12,0.265,15.54,0.14
2010-02-13,0.265,15.530000000000001,0.14
2010-02-14,0.265,15.52,0.14
2010-02-15,0.265,15.51,0.14
2010-02-16,0.265,15.5,0.14
2010-02-17,0.265,15.65,0.14221052631578948
2010-02-18,0.265,15.6,0.14442105263157895
2010-02-19,0.265,15.75,0.14663157894736845
2010-02-20,0.265,16.15,0.14884210526315791
2010-02-21,0.265,16.48421052631579,0.1630526315789474
2010-02-22,0.265,16.818421052631578,0.164
2010-02-23,0.265,17.152631578947368,0.16747368421052633
2010-02-24,0.265,17.486842105263158,0.1696842105263158
2010-02-25,0.265,17.821052631578947,0.17189473684210527
2010-02-26,0.2885,18.155263157894737,0.26860526315789474
2010-02-27,0.2885,30.339473684210525,0.27081578947368423
2010-02-28,0.2885,30.673684210526314,0.2730263157894737
2010-03-01,0.2885,31.007894736842104,0.27523684210526317
2010-03-02,0.2885,31.342105263157894,0.2774473684210526
2010-03-03,0.28049999999999997,31.676315789473684,0.2151578947368421
2010-03-04,0.28049999999999997,32.01052631578947,0.2173684210526316
2010-03-05,0.28049999999999997,32.34473684210526,0.21957894736842104
2010-03-06,0.28049999999999997,32.67894736842105,0.22178947368421054
2010-03-07,0.28049999999999997,33.013157894736835,0.224
2010-03-08,0.265,28.29736842105263,0.22066666666666668
2010-03-09,0.265,28.631578947368418,0.21983333333333333
2010-03-10,0.265,28.96578947368421,0.219
2010-03-11,0.265,29.299999999999997,0.219
2010-03-12,0.263925,29.2,0.22325
2010-03-13,0.28635,29.232758620689655,0.250875
2010-03-14,0.285275,29.26551724137931,0.253
2010-03-15,0.2842,29.298275862068962,0.25512500000000005
2010-03-16,0.283125,29.331034482758618,0.25725
2010-03-17,0.28205,32.86379310344827,0.259375
2010-03-18,0.27297499999999997,32.896551724137936,0.2615
2010-03-19,0.27190000000000003,32.929310344827584,0.263625
2010-03-20,0.270825,32.96206896551725,0.26575000000000004
2010-03-21,0.26975,32.994827586206895,0.26787500000000003
2010-03-22,0.268675,33.02758620689655,0.27
2010-03-23,0.2446,33.060344827586206,0.25425
2010-03-24,0.243525,33.09310344827586,0.249
2010-03-25,0.24245,33.12586206896552,0.2479
2010-03-26,0.241375,38.55862068965517,0.24680000000000002
